"","Species","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"170","Diploria labyrinthiformis","Dlab-C6","233",16,0.000391385419194904,1.40898750910165,"timepoint1"
"171","Diploria labyrinthiformis","Dlab-C6","289",16,0.000414191317397634,1.49108874263148,"timepoint1"
"172","Diploria labyrinthiformis","Dlab-C6","32",16,-5.57048798926455e-05,-0.200537567613524,"timepoint1"
"173","Diploria labyrinthiformis","Dlab-C6","341",16,0.00043604797231242,1.56977270032471,"timepoint1"
"174","Diploria labyrinthiformis","Dlab-C6","413",16,0.000463836207955342,1.66981034863923,"timepoint1"
"175","Diploria labyrinthiformis","Dlab-C6","517",16,0.000477996985917895,1.72078914930442,"timepoint1"
"176","Diploria labyrinthiformis","Dlab-C7","0",20,-0.000320697023242187,-1.15450928367187,"timepoint1"
"177","Diploria labyrinthiformis","Dlab-C7","124",20,-0.000245140589816797,-0.882506123340469,"timepoint1"
"178","Diploria labyrinthiformis","Dlab-C7","165",20,-0.000225338251880002,-0.811217706768006,"timepoint1"
"179","Diploria labyrinthiformis","Dlab-C7","233",20,-0.000197706081346022,-0.711741892845679,"timepoint1"
"180","Diploria labyrinthiformis","Dlab-C7","289",20,-0.000181663042043048,-0.653986951354974,"timepoint1"
"181","Diploria labyrinthiformis","Dlab-C7","32",20,-0.000282150665248197,-1.01574239489351,"timepoint1"
"182","Diploria labyrinthiformis","Dlab-C7","341",20,-0.000148397687200769,-0.534231673922769,"timepoint1"
"183","Diploria labyrinthiformis","Dlab-C7","413",20,-0.000132033410095723,-0.475320276344603,"timepoint1"
"184","Diploria labyrinthiformis","Dlab-C7","517",20,-0.00012800602683482,-0.460821696605351,"timepoint1"
"185","Diploria labyrinthiformis","Dlab-D1","0",2,-0.000197944785817443,-0.712601228942796,"timepoint1"
"186","Diploria labyrinthiformis","Dlab-D1","124",2,0.00016304841623826,0.586974298457734,"timepoint1"
"187","Diploria labyrinthiformis","Dlab-D1","165",2,0.000233000317851568,0.838801144265643,"timepoint1"
