Sample Name,Concentration (ng/uL),Sample Volume (uL),Customer Plate Name (if applicable),Customer Plate Well ID (if applicable),colony_id,Temp.Cat,New Sample Name
Dlab-B6,12,25,Plate1,Plate1_E11,Dlab-B6,26,Plate1_E11_Dlab-B6
Mdec-F2,12,25,Plate1,Plate1_F11,Mdec-F2,40,Plate1_F11_Mdec-F2
Dlab-E3,12,25,Plate1,Plate1_G11,Dlab-E3,33,Plate1_G11_Dlab-E3
Mcav-A6,12,25,Plate1,Plate1_H11,Mcav-A6,26,Plate1_H11_Mcav-A6
Mcav-A7,12,25,Plate1,Plate1_A12,Mcav-A7,36,Plate1_A12_Mcav-A7
Dlab-E4,12,25,Plate1,Plate1_B12,Dlab-E4,16,Plate1_B12_Dlab-E4
Mcav-D4,12,25,Plate1,Plate1_C12,Mcav-D4,16,Plate1_C12_Mcav-D4
Mdec-F3,12,25,Plate1,Plate1_D12,Mdec-F3,33,Plate1_D12_Mdec-F3
Mdec-A1,12,25,Plate1,Plate1_E12,Mdec-A1,29,Plate1_E12_Mdec-A1
Mcav-F7,12,25,Plate1,Plate1_F12,Mcav-F7,36,Plate1_F12_Mcav-F7
Dlab-B7,12,25,Plate1,Plate1_G12,Dlab-B7,36,Plate1_G12_Dlab-B7
Mdec-C6,12,25,Plate1,Plate1_H12,Mdec-C6,26,Plate1_H12_Mdec-C6
Mcav-B1,12,25,Plate2,Plate2_A1,Mcav-B1,29,Plate2_A1_Mcav-B1
Mdec-F4,12,25,Plate2,Plate2_B1,Mdec-F4,16,Plate2_B1_Mdec-F4
Mdec-A2,12,25,Plate2,Plate2_C1,Mdec-A2,40,Plate2_C1_Mdec-A2
Mcav-D5,12,25,Plate2,Plate2_D1,Mcav-D5,22,Plate2_D1_Mcav-D5
Dlab-C2,12,25,Plate2,Plate2_E1,Dlab-C2,40,Plate2_E1_Dlab-C2
Mdec-D1,12,25,Plate2,Plate2_F1,Mdec-D1,29,Plate2_F1_Mdec-D1
Dlab-E5,12,25,Plate2,Plate2_G1,Dlab-E5,22,Plate2_G1_Dlab-E5
Mdec-C7,12,25,Plate2,Plate2_H1,Mdec-C7,36,Plate2_H1_Mdec-C7
Dlab-E6,12,25,Plate2,Plate2_A2,Dlab-E6,26,Plate2_A2_Dlab-E6
Dlab-C3,12,25,Plate2,Plate2_B2,Dlab-C3,33,Plate2_B2_Dlab-C3
Mcav-B2,12,25,Plate2,Plate2_C2,Mcav-B2,40,Plate2_C2_Mcav-B2
Mdec-F5,12,25,Plate2,Plate2_D2,Mdec-F5,22,Plate2_D2_Mdec-F5
